"failed_to_setup_search_config","Failed to setup search config"
"installed_already","Search plugin is installed already."
"could_not_create_dir","Could not install Search plugin, could not create directory "
"index_dir_not_configured","Could not install Search plugin, index directory is not configured."
"uninstalled_successfully","Successfully uninstalled Search plugin"
"uninstall_failed","Could not uninstall search plugin"
"installed_successfully","Search plugin installed successfully. Please reload UI to activate plugin."
"index_warning","Warning: Plugin indexes all documents, objects and assets during installation.<br/>If you already have a lot of content, please disable this functionality in search.xml. The installation might take very long or even fail if there ist too much data to index initially."
"search_index","Location of search index"
"search_index_on_install","Index all resources during install"
"searchphp_frontend_settings_urls","Start-URLs for crawler"
"searchphp_frontend_settings_empty_text","Please enter your URL and hit enter"
"searchphp_frontend_allowed","Regexes for valid URIs"
"searchphp_frontend_allowed_empty_text","Please enter Regex incl. start and and delimiter and hit enter"
"searchphp_frontend_forbidden","Regexes for forbidden URIs"
"searchphp_frontend_forbidden_empty_text","Please enter Regex incl. start and and delimiter and hit enter"
"searchphp_frontend_categories_empty_text","Please enter category and and hit enter"
"urlfilter","Regexes for valid URIs - separate Regexes with ';'"
"not_ready_for_install","Plugin is not ready for installation. Please check permissions of plugin and website directories and the /tmp directory. (rwx for php user!)"
"search_index_optimization","Search Index Optimization"
"search_index_optimization_success","The search index could be optimized successfully."
"search_index_optimization_failure","Search index optimization failed!"
"search_query","Search term"
"search_frontend_enabled","Frontend aktive"
"objectclass...","class ..."
"searchphp_frontend_crawler_running","Website crawler is running!"
"searchphp_frontend_crawler_not_running","Website crawler not running"
"searchphp_backend_crawler_running","Backend crawler is running!"
"searchphp_backend_crawler_not_running","Backend crawler not running"
"SearchPhp_Frontend_Crawler_last_started","last start"
"SearchPhp_Frontend_Crawler_last_finished","last end"
"searchphp_plugin_description","Hier fehlt noch eine Beschreibung ... "
"searchphp_frontend_content_start_indicator","String specifying content start for search"
"searchphp_frontend_content_end_indicator","String specifying content end for search"
"searchphp_settings_save","Save Settings"
"searchphp_frontend_categories","Categories"
"searchphp_frontend_settings","Frontend and Crawler Settings"
"searchphp_frontend_enabled","Frontend search active"
"searchphp_basic","Basic Settings"
"searchphp_backend","Backend"
"searchphp_frontend_ignoreLanguage","Ignore language"
"language","Language"
"searchphp_backend_excludeAssets","exclude assets"
"searchphp_backend_excludeDocuments","exclude documents"
"searchphp_backend_excludeObjects","exclude objects"
"searchphp_frontend_ownHostOnly","Only results of the current (Sub-)domain"
"subdomains","Subdomain"
"searchphp_pimcore_version_too_low","At least pimcore version 1.3.1 revision 930 is required to operate this plugin"
"searchphp_start_crawler","Start"
"searchphp_stop_crawler","Stop"
"searchphp_frontend_crawler","Frontend Crawler"
"searchphp_backend_crawler","Backend Crawler"
"searchphp_status","State"
"SearchPhp_Frontend_Crawler_start_on_next_maintenance","Forcing crawler start with next maintenance"
"searchphp_frontend_enabled_description","Enable and configure the search frontend if you want to include a full text search on your website"
"searchphp_frontend_ignoreLanguage_description","Check to receive search results from all languages, uncheck to limit search results to the current language only. The current language is retrieved from the registy, the language of any page in the search result index is extracted by the crawler (Content-Language Http header, html tag lang attribute or html meta tag content-language)"
"searchphp_frontend_ownHostOnly_description","Check to limt search results to results from the current (sub-)domain only"
"searchphp_frontend_content_indicator_description","You can limit the page content relevant for searching by surrounding it with certain html comments. The crawler will still parse the entire page to find links, but only the specified area wihin your html comments is used when searching for a term"
"searchphp_frontend_categories_description","If search results should be displayed by categories, please enter all valid categories here. The crawler sorts a page into a category if it contains a html meta tag with the name cat"
"searchphp_frontend_settings_urls_description","Specify start URLs for the crawler. Please enter with protocol! e.g. http://www.pimcore.org and enter a starting URL on your main domain first and any subdomains next, because the domain of the first URL will be used as the main domain for sitemap generation"
"searchphp_frontend_allowed_description","Specify PREG regexes with start and end delimiter to define allowed links. e.g. @^http://www\\.pimcore\\.org.*@i"
"searchphp_frontend_forbidden_description","Specify PREG regexes for links which should be ignored by the crawler. The crawler does not even follow these links e.g. @.*www\\.pimcore\\.org\\/community.*@i"
"searchphp_backend_exclude_description","You can exclude objects/assets/documents from being indexed by the backend crawler"
"searchphp_frontend_crawler_maxThreads","Max. Threads"
"searchphp_frontend_crawler_maxThreads_description","If pcntl is enabled in php, the crawler starts several parallel threads to extract links and pages from the target site. "
"searchphp_frontend_mandatory_fields", "These fields are mandatory for the crawler to work"
"searchphp_frontend_config_incomplete", "Crawler ist not ready to be started. Please complete crawler configuration below"
"searchphp_frontend_crawler_maxLinkDepth","Maximum link depth"
"searchphp_frontend_crawler_maxLinkDepth_description","To avoid loops produced by relative links on a website, a maximum link depth needs to be set. Please choose the value suited to the website to crawl, the default value is 15"
"SearchPhp_Frontend_Crawler_stop_failed_description","The crawler did not respond to the stop command within the last 10 Seconds, do you want to force stop it? Forcing the stop does not guarantee that all child processes have finished. It is advised to wait a couple of minutes before starting the crawler again."
"SearchPhp_Frontend_Crawler_stop_failed","Could not stop crawler"
"searchphp_please_wait","Please wait ..."
"searchphp_frontend_fuzzySearch_description","When checked, a fuzzy search for similar search terms is performed. If no results could be found for the search term entered by the user, similar search terms are presented as suggestions"
"searchphp_frontend_fuzzySearch","Fuzzy Search"
"searchphp_search_suggestions","Search Suggestions"
